0.398	0.678	0.209	0.705	0	1
0.223	0.175	0.532	0.705	0	1
0.221	0.044	0.211	0.705	0	1
0.052	0.026	0.084	0	0.845	0
0.016	0.141	0	0	0.845	0
1	0.266	0.050	0	0.845	0
0.112	0.021	0.077	0	0.845	0
0.074	0.070	0.178	0	0.845	0.382
0.154	0.018	0.013	0	0.845	0.382
0.136	0.040	0.010	0	0.845	0.382
0.322	0.365	0.561	0.705	0	0.292
0.440	1	0.243	0.705	0	0.292
0.270	0.294	0.424	1	1	0.616
0.080	0.046	0.174	1	1	0.616
0.446	0.068	0.224	1	1	0.616
0	0.005	0.098	1	1	0.616
0.491	0.113	0.267	1	1	0.366
0.400	0.115	0.211	1	1	0.366
0.135	0.075	0.537	1	1	0.366
0.750	0.290	0.259	1	1	0.124
0.275	0.550	1	1	1	0.124
0.367	0.195	0.165	1	1	0.124
0.005	0	0.161	1	1	0.124
0.164	0.020	0.287	1	1	0.124

